clap_rank,guitar_rank,hat_rank,kick_rank,piano_rank,rim_rank,shake_rank,snare_rank,synth_rank,clap,guitar,hat,kick,piano,rim,shake,snare,synth,oscType_0,isNoise_0,A_0,D_0,S_0,R_0,pitch_0_0,pitch_1_0,pitch_2_0,pitch_3_0,bpCutLow_0,bpCutHigh_0,bpOrder_0,amplitude_0,start_0,length_0
7.0,4.0,2.0,6.0,8.0,9.0,5.0,3.0,1.0,0.0770145058631897,0.0945049524307251,0.21850387752056122,0.08003368973731995,0.03186308220028877,0.0,0.08407580107450485,0.14521510899066925,0.26878899335861206,2,1,2,2,3,2,42,100,40,80,74,111,1,3,2,6
5.0,8.0,2.0,6.0,9.0,7.0,4.0,3.0,1.0,0.08905881643295288,0.06437137722969055,0.18414780497550964,0.07371853291988373,0.0,0.06614238023757935,0.11822374910116196,0.13965916633605957,0.26467815041542053,1,0,1,3,0,1,38,104,8,0,74,113,2,3,8,1
8.0,5.0,3.0,2.0,4.0,7.0,9.0,6.0,1.0,0.009444059804081917,0.12305768579244614,0.1726853996515274,0.18001623451709747,0.16414813697338104,0.04183584824204445,0.0,0.05146843567490578,0.25734418630599976,1,0,0,2,3,1,70,20,104,64,22,79,1,1,9,0
8.0,3.0,2.0,6.0,9.0,7.0,4.0,5.0,1.0,0.04779985547065735,0.11060570180416107,0.18796969950199127,0.0940534844994545,0.0,0.07413767278194427,0.10471032559871674,0.10392285883426666,0.27680039405822754,0,1,2,2,0,1,10,72,104,0,86,102,2,2,2,5
9.0,7.0,2.0,3.0,8.0,5.0,4.0,6.0,1.0,0.0,0.04488569498062134,0.22793792188167572,0.12330758571624756,7.571702008135617e-05,0.10696398466825485,0.11862590163946152,0.09714356064796448,0.2810596227645874,0,0,0,1,1,2,116,0,56,32,96,104,1,0,2,6
8.0,4.0,2.0,5.0,6.0,7.0,9.0,3.0,1.0,0.006671316921710968,0.14638404548168182,0.15414310991764069,0.11315547674894333,0.10105341672897339,0.07603850960731506,0.0,0.14993467926979065,0.2526194453239441,0,0,1,3,1,3,68,68,104,0,80,117,0,3,1,4
6.0,2.0,3.0,7.0,5.0,4.0,9.0,8.0,1.0,0.022146744653582573,0.20852476358413696,0.09096624702215195,0.005057232454419136,0.03459129109978676,0.03973393142223358,0.0,0.0008786438847891986,0.5981011390686035,0,1,3,2,1,2,12,88,0,0,70,77,2,0,3,2
8.0,5.0,2.0,4.0,9.0,3.0,6.0,7.0,1.0,0.02541571855545044,0.05527014285326004,0.20149244368076324,0.11005935072898865,0.0,0.14418542385101318,0.04354807734489441,0.0411839596927166,0.37884488701820374,0,0,1,3,0,1,76,92,72,32,50,80,1,0,1,4
9.0,4.0,3.0,1.0,8.0,6.0,5.0,7.0,2.0,0.0,0.0928213819861412,0.16582222282886505,0.27418920397758484,0.04815894737839699,0.06576516479253769,0.0676683709025383,0.04932690039277077,0.23624780774116516,0,1,1,1,0,2,44,76,64,48,14,30,2,2,7,0
5.0,2.0,4.0,9.0,3.0,7.0,8.0,6.0,1.0,0.056916289031505585,0.2164531797170639,0.12334716320037842,0.0,0.1905452311038971,0.050970789045095444,0.011194856837391853,0.05301317572593689,0.29755932092666626,2,1,1,3,1,1,74,68,40,0,36,85,2,3,2,2
6.0,4.0,2.0,7.0,5.0,3.0,8.0,9.0,1.0,0.07479138672351837,0.10275856405496597,0.1806659698486328,0.05532991513609886,0.09709905833005905,0.12170837819576263,0.004992212634533644,0.0,0.36265450716018677,2,0,0,2,1,0,50,48,80,64,74,86,1,0,0,6
7.0,6.0,2.0,5.0,9.0,4.0,3.0,8.0,1.0,0.030077628791332245,0.046214181929826736,0.22402353584766388,0.07679789513349533,0.0,0.09181661158800125,0.120539091527462,0.029759230092167854,0.38077184557914734,2,1,1,1,2,0,80,12,8,112,116,117,0,1,9,0
9.0,2.0,4.0,3.0,6.0,5.0,8.0,7.0,1.0,0.0,0.15887011587619781,0.1199493557214737,0.13585889339447021,0.058375779539346695,0.11611513793468475,0.054508574306964874,0.05717628821730614,0.2991458475589752,0,0,1,1,2,0,16,56,32,64,50,88,2,0,5,1
8.0,6.0,2.0,5.0,9.0,4.0,3.0,7.0,1.0,0.015200885944068432,0.09648364037275314,0.21837249398231506,0.10479853302240372,0.0,0.12376479804515839,0.13920259475708008,0.02747691608965397,0.2747001349925995,0,0,0,1,2,2,56,56,48,16,104,108,1,2,2,7
5.0,3.0,2.0,8.0,7.0,6.0,9.0,4.0,1.0,0.06981205195188522,0.16400080919265747,0.18294855952262878,0.027278484776616096,0.05543425306677818,0.061266474425792694,0.0,0.14861400425434113,0.2906453609466553,0,1,2,0,3,2,52,24,88,32,22,112,2,3,0,4
8.0,6.0,2.0,3.0,9.0,4.0,7.0,5.0,1.0,0.012611731886863708,0.0878613069653511,0.20231904089450836,0.1389445960521698,0.0,0.1368960291147232,0.04290959984064102,0.11127974838018417,0.267177939414978,0,0,1,2,0,3,100,72,48,32,88,115,2,0,0,9
6.0,5.0,1.0,8.0,9.0,7.0,2.0,3.0,4.0,0.08809094876050949,0.10630679875612259,0.18275274336338043,0.04962678626179695,0.0,0.05792807415127754,0.1747325211763382,0.17184600234031677,0.16871611773967743,1,0,1,0,0,1,12,20,104,0,110,119,0,3,6,1
9.0,6.0,3.0,2.0,8.0,4.0,5.0,7.0,1.0,0.0,0.074037566781044,0.18624359369277954,0.19301430881023407,0.02962835691869259,0.0894957110285759,0.07404139637947083,0.039123136550188065,0.31441593170166016,2,1,3,3,3,1,118,80,112,32,16,24,2,1,2,3
8.0,2.0,4.0,7.0,3.0,5.0,9.0,6.0,1.0,0.034087713807821274,0.20253388583660126,0.09721609950065613,0.03696516528725624,0.20201419293880463,0.07136665284633636,0.0,0.057870060205459595,0.2979462444782257,0,1,1,3,0,3,98,104,40,112,64,75,1,0,0,9
9.0,2.0,4.0,5.0,3.0,7.0,8.0,6.0,1.0,0.0,0.2129100263118744,0.12386873364448547,0.04183272644877434,0.20250225067138672,0.01852564699947834,0.011822783388197422,0.023960374295711517,0.36457744240760803,0,1,2,2,1,2,16,84,0,16,54,74,1,1,2,3
5.0,3.0,2.0,9.0,6.0,8.0,7.0,4.0,1.0,0.1460798978805542,0.1694832742214203,0.18641726672649384,0.0,0.0698462650179863,0.023121656849980354,0.05941926687955856,0.14644205570220947,0.19919028878211975,0,1,0,2,1,0,86,84,56,80,38,116,0,1,0,5
9.0,3.0,2.0,5.0,4.0,6.0,8.0,7.0,1.0,0.0,0.11066553741693497,0.17169100046157837,0.06955883651971817,0.1046818420290947,0.04268922656774521,0.03757285699248314,0.04183954373002052,0.4213011562824249,0,0,0,1,2,0,32,80,16,112,66,78,0,1,5,2
9.0,6.0,2.0,3.0,8.0,7.0,5.0,4.0,1.0,0.0,0.06955240666866302,0.24568456411361694,0.13767799735069275,0.0005988188786432147,0.05020691826939583,0.08837710320949554,0.12462205439805984,0.2832801342010498,0,0,0,3,1,0,110,36,104,64,94,106,0,1,0,3
9.0,3.0,4.0,2.0,6.0,7.0,8.0,5.0,1.0,0.0,0.14633820950984955,0.14243729412555695,0.17847438156604767,0.0785536840558052,0.062187228351831436,0.00412740046158433,0.08731265366077423,0.3005691468715668,0,0,3,1,1,1,16,96,104,64,26,53,0,3,4,4
6.0,3.0,2.0,4.0,9.0,7.0,5.0,8.0,1.0,0.09013757854700089,0.10164141654968262,0.18076439201831818,0.10063041001558304,0.0,0.08723045885562897,0.09100557118654251,0.02851012535393238,0.320080041885376,0,0,0,1,2,1,72,112,88,32,66,77,0,0,8,1
5.0,3.0,2.0,8.0,6.0,9.0,7.0,4.0,1.0,0.06601166725158691,0.16883647441864014,0.20009832084178925,0.006514121778309345,0.0496099516749382,0.0,0.028373168781399727,0.14182834327220917,0.3387279510498047,0,1,1,0,3,0,30,80,48,48,66,112,2,0,5,1
